"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","3SsnPorch","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
248,20,"RL",75,11310,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1954,1954,"Hip","CompShg","Wd Sdng","BrkFace","None","TA","TA","CBlock","TA","TA","No",0,"Unf",0,1367,1367,"Ex","Y","SBrkr",1375,0,1375,0,1,0,2,"TA",5,"Typ",1,1954,"Unf",2,451,"Y",0,30,0,6,2006,"WD","Normal",140000
1222,20,"RL",55,8250,"Reg","Lvl","Inside","Gtl","Sawyer","Feedr","1Fam","1Story",5,5,1968,1968,"Hip","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No",250,"LwQ",492,210,952,"Ex","Y","SBrkr",1211,0,1211,0,1,0,3,"TA",5,"Typ",1,1968,"Unf",1,322,"Y",0,63,0,8,2008,"WD","Normal",134000
2426,50,"RL",60,10284,"Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",4,7,1925,1993,"Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","Mn",1030,"LwQ",66,55,1151,"Ex","Y","SBrkr",845,436,1281,1,2,0,1,"TA",6,"Mod",0,1978,"Unf",2,580,"Y",0,0,0,8,2007,"WD","Abnorml",158270.753116401
2087,50,"RM",57,9184,"Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",5,7,1948,2005,"Gable","CompShg","WdShing","Wd Shng","None","TA","TA","BrkTil","TA","TA","No",0,"Unf",0,780,780,"Ex","Y","SBrkr",948,375,1323,0,1,0,3,"TA",6,"Typ",0,1948,"Unf",2,400,"Y",0,0,0,7,2008,"WD","Normal",180655.101535034
2483,20,"RL",86,8665,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1968,1968,"Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","Mn",168,"BLQ",288,420,876,"TA","Y","SBrkr",897,0,897,0,1,0,3,"TA",5,"Typ",0,1968,"RFn",1,264,"Y",0,0,0,1,2007,"WD","Normal",173902.011270196
2858,20,"RL",65,8772,"Reg","Lvl","FR2","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn",996,"Unf",0,340,1336,"Ex","Y","SBrkr",1336,0,1336,1,2,0,3,"Gd",6,"Typ",0,2005,"Unf",2,502,"Y",136,43,0,9,2006,"New","Partial",183849.408762071
1414,20,"RL",88,10994,"IR1","Lvl","Corner","Gtl","SawyerW","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","Gd","No",976,"Unf",0,868,1844,"Ex","Y","SBrkr",1844,0,1844,1,2,0,2,"Gd",7,"Typ",1,2005,"Fin",2,620,"Y",165,44,0,9,2009,"COD","Abnorml",257000
1304,20,"RL",73,8688,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av",0,"Unf",0,1616,1616,"Ex","Y","SBrkr",1616,0,1616,0,2,0,3,"Gd",7,"Typ",0,2005,"RFn",3,834,"Y",208,59,0,4,2006,"WD","Normal",232000
1696,60,"RL",NA,15896,"IR2","Lvl","CulDSac","Gtl","Gilbert","RRNn","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No",913,"Unf",0,264,1177,"Ex","Y","SBrkr",1223,1089,2312,1,2,1,4,"Gd",8,"Typ",1,1999,"Fin",3,658,"Y",298,0,0,5,2009,"WD","Normal",204032.992922943
526,20,"FV",62,7500,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No",0,"Unf",0,1257,1257,"Ex","Y","SBrkr",1266,0,1266,0,2,0,3,"Gd",6,"Typ",1,2005,"Unf",2,453,"Y",38,144,0,4,2006,"WD","Normal",176000
2690,60,"FV",100,13162,"Reg","Lvl","Corner","Gtl","Somerst","Feedr","1Fam","2Story",9,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No",1836,"Unf",0,200,2036,"Ex","Y","SBrkr",2036,604,2640,1,3,1,3,"Ex",11,"Typ",1,2006,"RFn",3,792,"Y",0,265,0,11,2006,"New","Partial",194698.882220432
1069,160,"RM",42,3964,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","2Story",6,4,1973,1973,"Gable","CompShg","CemntBd","CmentBd","None","TA","TA","CBlock","Gd","TA","No",837,"Unf",0,105,942,"Gd","Y","SBrkr",1291,1230,2521,1,2,1,5,"TA",10,"Maj1",1,1973,"Fin",2,576,"Y",728,20,0,6,2006,"WD","Normal",151400
1426,20,"RL",80,10721,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1959,1959,"Hip","CompShg","HdBoard","HdBoard","Stone","Gd","TA","CBlock","TA","TA","No",0,"Unf",0,1252,1252,"Ex","Y","SBrkr",1252,0,1252,0,1,0,3,"Gd",7,"Typ",0,1960,"Unf",2,528,"Y",0,39,0,10,2008,"WD","Normal",142000
22,45,"RM",57,7449,"Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","TA","TA","No",0,"Unf",0,637,637,"Ex","Y","FuseF",1108,0,1108,0,1,0,3,"Gd",6,"Typ",1,1930,"Unf",1,280,"N",0,0,0,6,2007,"WD","Normal",139400
1742,160,"FV",34,2998,"Reg","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace","Gd","TA","PConc","Gd","TA","No",507,"Unf",0,249,756,"Ex","Y","SBrkr",756,756,1512,1,2,1,2,"Gd",4,"Typ",0,2000,"Unf",2,440,"Y",0,32,0,8,2009,"WD","Normal",155412.151845447
1766,20,"RL",92,10573,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,6,1961,1961,"Hip","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No",1312,"Unf",0,141,1453,"Ex","Y","SBrkr",1453,0,1453,1,2,0,3,"TA",6,"Typ",1,1961,"RFn",2,530,"Y",0,49,0,4,2009,"WD","Normal",179176.352180931
2241,85,"RL",150,14137,"Reg","Lvl","Corner","Gtl","Mitchel","Norm","1Fam","SFoyer",4,5,1964,1964,"Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","Gd","TA","Av",865,"LwQ",247,88,1200,"Gd","Y","SBrkr",1200,0,1200,1,1,0,3,"TA",6,"Typ",0,1964,"Fin",3,850,"Y",0,119,0,11,2008,"ConLD","Normal",194822.365690957
1395,120,"RL",53,4045,"Reg","Lvl","Inside","Gtl","Blmngtn","Norm","TwnhsE","1Story",7,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av",1070,"Unf",0,286,1356,"Ex","Y","SBrkr",1500,0,1500,1,2,0,2,"Gd",6,"Typ",1,2006,"Fin",3,648,"Y",161,20,0,10,2006,"New","Partial",246578
2547,80,"RL",65,6285,"Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","SLvl",6,6,1976,1976,"Gable","CompShg","HdBoard","Plywood","None","TA","Fa","CBlock","TA","TA","Av",504,"Unf",0,456,960,"TA","Y","SBrkr",1044,0,1044,1,1,0,3,"TA",7,"Typ",1,1976,"Unf",2,528,"Y",228,0,0,4,2007,"WD","Normal",172532.757660882
1128,20,"RL",182,14572,"IR3","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","1Story",7,5,2004,2004,"Hip","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av",1300,"Unf",0,230,1530,"Ex","Y","SBrkr",1530,0,1530,1,2,0,3,"Gd",7,"Typ",1,2004,"Fin",3,630,"Y",144,36,0,11,2007,"WD","Family",259000
983,20,"RL",43,3182,"Reg","Lvl","Inside","Gtl","Blmngtn","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av",0,"Unf",0,1266,1266,"Ex","Y","SBrkr",1266,0,1266,0,2,0,2,"Gd",6,"Typ",1,2007,"Fin",2,388,"Y",100,16,0,3,2008,"WD","Normal",159895
1791,90,"RL",81,9671,"Reg","Lvl","Corner","Gtl","NAmes","Artery","Duplex","2Story",6,5,1969,1969,"Gable","CompShg","MetalSd","MetalSd","Stone","TA","TA","CBlock","TA","TA","No",0,"Unf",0,1248,1248,"TA","Y","SBrkr",1248,1296,2544,0,2,2,6,"TA",12,"Typ",0,1969,"RFn",3,907,"Y",0,0,0,8,2009,"WD","Normal",221648.391978216
1516,50,"RL",120,17360,"Reg","Lvl","Corner","Gtl","NAmes","Artery","1Fam","1.5Fin",6,6,1949,1950,"Gable","CompShg","MetalSd","MetalSd","Stone","TA","Gd","CBlock","TA","TA","No",300,"Unf",0,482,782,"TA","Y","SBrkr",1019,537,1556,0,2,0,3,"TA",6,"Typ",1,1949,"Unf",2,470,"Y",0,0,0,1,2010,"WD","Normal",188321.073833569
1640,60,"RL",NA,12388,"IR1","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","2Story",7,7,1980,1991,"Gable","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","No",602,"Unf",0,441,1043,"TA","Y","SBrkr",1539,1134,2673,0,2,1,4,"Gd",9,"Typ",1,1980,"RFn",2,441,"Y",178,84,0,8,2009,"WD","Normal",200443.7920562
